"","Speaker","Intercept","sequence"
"1","K001M",-0.486914584284427,"ia"
"2","K002M",0.622452212953578,"ia"
"3","K003M",0.509145372906116,"ia"
"4","K004M",-0.00612647969703427,"ia"
"5","K005M",0.099522768232976,"ia"
"6","K006M",0.0302275282258884,"ia"
"7","K007M",0.0871898920050846,"ia"
"8","K008M",-0.36235453075588,"ia"
"9","K009M",-0.52553604888059,"ia"
"10","K010M",0.0323938692942856,"ia"
"11","L1H01M",0.0309760808960165,"ia"
"12","L1H02M",-0.192994006984559,"ia"
"13","L1H03M",-0.0660797003707057,"ia"
"14","L1H04M",0.316916982395538,"ia"
"15","L1H05M",0.0329357288351922,"ia"
"16","L1H06M",-0.121755084771482,"ia"
"17","L1Y01M",0.725120513489416,"ia"
"18","L1Y02M",0.0636973233725748,"ia"
"19","L1Y03M",-0.00683719064590429,"ia"
"20","L1Y04M",-0.346611246909238,"ia"
"21","L1Y05M",-0.435369399306851,"ia"
"22","L2H01M",0.423933599116457,"ia"
"23","L2H02M",-0.234486635962996,"ia"
"24","L2H03M",0.343816172603865,"ia"
"25","L2H04M",-0.0589380476461495,"ia"
"26","L2H05M",-0.474325088111174,"ia"
"27","L2Y01M",0.292812875168397,"ia"
"28","L2Y02M",-0.534131546996609,"ia"
"29","L2Y03M",0.361501418934699,"ia"
"30","L2Y04M",-0.378436545299049,"ia"
"31","L2Y05M",0.258253798192568,"ia"
"32","MU01M",0.517116981668072,"ia"
"33","MU02M",0.215852272097626,"ia"
"34","MU03M",-0.643383157925432,"ia"
"35","MU04M",-0.122337982465864,"ia"
"36","MU05M",-0.188123119359409,"ia"
"37","MU06M",-0.113136624864498,"ia"
"38","MU07M",-0.207341795341564,"ia"
"39","MU08M",0.904305458278966,"ia"
"40","MU09M",-0.0984346803740016,"ia"
"41","MU10M",0.0937998923797911,"ia"
"42","MU11M",-0.358317244093759,"ia"
"43","R001M",-0.656014761741708,"ia"
"44","R002M",0.42122050535743,"ia"
"45","R003M",-0.19285052611809,"ia"
"46","R004M",-0.103666573836594,"ia"
"47","R005M",-0.294965781559877,"ia"
"48","R006M",-0.367887536153101,"ia"
"49","R007M",-0.164443694822113,"ia"
"50","R008M",-0.276361073810368,"ia"
"51","R009M",0.0505316514336138,"ia"
"52","R010M",0.396417997724142,"ia"
"53","R011M",0.397047914863545,"ia"
"54","R012M",0.790971878663115,"ia"
"55","WU01M",-0.36449855711048,"ia"
"56","WU02M",0.0409569684110657,"ia"
"57","WU03M",0.0320063693575337,"ia"
"58","WU04M",-0.299291219650531,"ia"
"59","WU06M",-0.509280427004339,"ia"
"60","WU07M",0.518744825939238,"ia"
"61","WU08M",0.581362040057446,"ia"
